source,HPO_term_VarName,HPO_term_name,HPO_term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
HP,Anemia,Anemia,HP:0001903,FALSE,4.380338942698703e-112,111.35849228327478,614,173,149,4958,"ABCA1,ABCG8,ACVRL1,ADA2,ALG8,ALPL,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD40LG,CD46,CDAN1,CDIN1,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,COL3A1,COL4A1,COL7A1,COQ2,CP,CTC1,DCDC2,DDX41,DKC1,DNAJC21,ELANE,ENG,EPB42,ERCC4,ETV6,F8,FAH,FAM111A,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FMO3,FOXP3,G6PC3,GATA1,GBA1,GLA,HAMP,HBA1,HBA2,HBB,HLA-DQB1,IFIH1,KCNE1,KCNQ1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MMAA,MMAB,MMACHC,MMADHC,MMP1,MTR,MTRR,MTTP,MUC1,NAF1,NPHP1,NPHP4,PALB2,PCCA,PCCB,PEPD,PLEC,PNPO,PRDX1,RAD51,RAD51C,RBM8A,REN,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC19A2,SLC25A13,SLC2A1,SLC37A4,SLC46A1,SLC4A1,SLC7A7,SLX4,SMAD4,SMARCAL1,SMPD1,SRP54,STK11,SURF1,TBX1,TERT,TFR2,TGFB1,THBD,TINF2,TMEM67,TREX1,TSR2,UBE2T,UROS,WAS,XRCC2,MT-CO1,MT-CO2,MT-CO3,MT-ND1,MT-ND4,MT-ND5,MT-ND6,POLG"
HP,Abnormal_erythrocyte_morphology,Abnormal erythrocyte morphology,HP:0001877,FALSE,2.720552270680347e-107,106.56534292546476,672,173,150,4958,"ABCA1,ABCG8,ACVRL1,ADA2,ALG8,ALPL,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD40LG,CD46,CDAN1,CDIN1,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,COL3A1,COL4A1,COL7A1,COQ2,CP,CTC1,DCDC2,DDX41,DKC1,DNAJC21,ELANE,ENG,EPB42,ERCC4,ETV6,F8,FAH,FAM111A,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FMO3,FOXP3,G6PC3,GATA1,GBA1,GLA,HAMP,HBA1,HBA2,HBB,HLA-DQB1,IFIH1,KCNE1,KCNQ1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MMAA,MMAB,MMACHC,MMADHC,MMP1,MTR,MTRR,MTTP,MUC1,NAF1,NPHP1,NPHP4,PALB2,PCCA,PCCB,PEPD,PLEC,PNPO,PRDX1,RAD51,RAD51C,RBM8A,REN,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC19A2,SLC25A13,SLC2A1,SLC37A4,SLC46A1,SLC4A1,SLC7A7,SLX4,SMAD4,SMARCAL1,SMPD1,SRP54,STK11,SURF1,TBX1,TERT,TFR2,TGFB1,THBD,TINF2,TMEM67,TREX1,TSR2,UBE2T,UROS,WAS,XK,XRCC2,MT-CO1,MT-CO2,MT-CO3,MT-ND1,MT-ND4,MT-ND5,MT-ND6,POLG"
HP,Abnormality_of_blood_and_blood-forming_tissues,Abnormality of blood and blood-forming tissues,HP:0001871,FALSE,4.8264367879261624e-63,62.31637337741226,1442,173,156,4958,"ABCA1,ABCG8,ACVRL1,ADA2,ALG8,ALPL,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD40LG,CD46,CDAN1,CDIN1,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,COL3A1,COL4A1,COL7A1,COQ2,CP,CTC1,DCDC2,DDX41,DKC1,DNAJC21,ELANE,ENG,EPB42,ERCC4,ETV6,F8,F9,FAH,FAM111A,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FMO3,FOXP3,G6PC1,G6PC3,GATA1,GBA1,GLA,HAMP,HBA1,HBA2,HBB,HLA-DQB1,IFIH1,KCNE1,KCNQ1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MEN1,MMAA,MMAB,MMACHC,MMADHC,MMP1,MTR,MTRR,MTTP,MUC1,NAF1,NPHP1,NPHP4,PALB2,PCCA,PCCB,PEPD,PLEC,PNPO,PRDX1,RAD51,RAD51C,RBM8A,REN,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC19A2,SLC25A13,SLC2A1,SLC37A4,SLC46A1,SLC4A1,SLC7A7,SLX4,SMAD4,SMARCAL1,SMPD1,SRP54,STK11,SURF1,TBX1,TERT,TFR2,TGFB1,THBD,TINF2,TMEM67,TREX1,TSR2,UBE2T,UROS,VWF,WAS,WDR19,XK,XRCC2,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND4,MT-ND5,MT-ND6,POLG"
HP,Abnormal_platelet_count,Abnormal platelet count,HP:0011873,FALSE,7.061543307283291e-59,58.15110037308562,438,173,99,4958,"ABCA1,ABCG8,ADA2,ALG8,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD40LG,CD46,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,CTC1,DKC1,DNAJC21,ELANE,EPB42,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FOXP3,G6PC3,GATA1,GBA1,HBB,HLA-DQB1,IFIH1,LIPA,LMBRD1,LYST,MAD2L2,MMAA,MMAB,MMACHC,NAF1,PALB2,PCCA,PCCB,PEPD,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC19A2,SLC37A4,SLC46A1,SLC7A7,SLX4,SMARCAL1,SMPD1,SRP54,TBX1,TERT,TGFB1,THBD,TINF2,TREX1,TSR2,UBE2T,UROS,VWF,WAS,XRCC2"
HP,Anemia_of_inadequate_production,Anemia of inadequate production,HP:0010972,FALSE,1.2247430472493463e-58,57.91195501731341,198,173,74,4958,"ADA2,BRCA1,BRCA2,BRIP1,CDAN1,CDIN1,COL7A1,CP,DNAJC21,ERCC4,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FOXP3,GATA1,HBA1,HBA2,HBB,HLA-DQB1,KCNE1,KCNQ1,LMBRD1,LPIN2,MAD2L2,MMACHC,MMADHC,MMP1,MTR,MTRR,PALB2,PNPO,PRDX1,RAD51,RAD51C,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9L,SBDS,SLC19A2,SLC37A4,SLC46A1,SLC4A1,SLX4,SMPD1,SRP54,STK11,TGFB1,TREX1,TSR2,UBE2T,WAS,XRCC2"
HP,Abnormal_platelet_morphology,Abnormal platelet morphology,HP:0011875,FALSE,1.831334746011381e-58,57.737232264623444,442,173,99,4958,"ABCA1,ABCG8,ADA2,ALG8,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD40LG,CD46,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,CTC1,DKC1,DNAJC21,ELANE,EPB42,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FOXP3,G6PC3,GATA1,GBA1,HBB,HLA-DQB1,IFIH1,LIPA,LMBRD1,LYST,MAD2L2,MMAA,MMAB,MMACHC,NAF1,PALB2,PCCA,PCCB,PEPD,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC19A2,SLC37A4,SLC46A1,SLC7A7,SLX4,SMARCAL1,SMPD1,SRP54,TBX1,TERT,TGFB1,THBD,TINF2,TREX1,TSR2,UBE2T,UROS,VWF,WAS,XRCC2"
HP,Thrombocytopenia,Thrombocytopenia,HP:0001873,FALSE,3.429725867644086e-57,56.46474059101474,407,173,95,4958,"ABCA1,ABCG8,ADA2,ALG8,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD40LG,CD46,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,CTC1,DKC1,DNAJC21,ELANE,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FOXP3,G6PC3,GATA1,GBA1,IFIH1,LIPA,LMBRD1,LYST,MAD2L2,MMAA,MMAB,MMACHC,NAF1,PALB2,PCCA,PCCB,PEPD,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC19A2,SLC37A4,SLC46A1,SLC7A7,SLX4,SMARCAL1,SMPD1,SRP54,TBX1,TERT,THBD,TINF2,TREX1,TSR2,UBE2T,UROS,VWF,WAS,XRCC2"
HP,Abnormality_of_thrombocytes,Abnormality of thrombocytes,HP:0001872,FALSE,8.745830042814038e-56,55.05819896652754,469,173,99,4958,"ABCA1,ABCG8,ADA2,ALG8,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD40LG,CD46,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,CTC1,DKC1,DNAJC21,ELANE,EPB42,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FOXP3,G6PC3,GATA1,GBA1,HBB,HLA-DQB1,IFIH1,LIPA,LMBRD1,LYST,MAD2L2,MMAA,MMAB,MMACHC,NAF1,PALB2,PCCA,PCCB,PEPD,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC19A2,SLC37A4,SLC46A1,SLC7A7,SLX4,SMARCAL1,SMPD1,SRP54,TBX1,TERT,TGFB1,THBD,TINF2,TREX1,TSR2,UBE2T,UROS,VWF,WAS,XRCC2"
HP,Myelodysplasia,Myelodysplasia,HP:0002863,FALSE,8.323675747903614e-44,43.079684846245016,111,173,51,4958,"ADA2,BRCA1,BRCA2,BRIP1,DDX41,DKC1,DNAJC21,ELANE,ERCC4,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,GATA1,MAD2L2,NAF1,PALB2,RAD51,RAD51C,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLX4,SRP54,TERT,TINF2,TSR2,UBE2T,XRCC2"
HP,Leukopenia,Leukopenia,HP:0001882,FALSE,1.1866924243035098e-43,42.92566183,151,173,57,4958,"ADA2,BRCA1,BRCA2,BRIP1,DDX41,DKC1,DNAJC21,ERCC4,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,G6PC3,GATA1,GBA1,LIPA,LYST,MAD2L2,PALB2,RAD51,RAD51C,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SBDS,SLC46A1,SLC7A7,SLX4,SRP54,TERT,TGFB1,TINF2,TREX1,TSR2,UBE2T,UROS,XRCC2"
